Longitude,Latitude,ElevationBottom,
-88.79068077,33.27405415,66.59712,
-88.79068042,33.27415798,66.59712,
-88.79067966,33.27438715,66.39712,
-88.79067934,33.27467549,66.39712,
-88.79067779,33.27405377,66.59712,
-88.7906766,33.27424365,66.49712,
-88.79067642,33.27438696,66.39712,
-88.79067517,33.27520841,66.49712,
-88.79067291,33.27440373,66.39712,
-88.7906722,33.27414063,66.59712,
-88.7906709,33.27405665,66.59712,
-88.79066949,33.27405311,66.59712,
-88.79066671,33.27442156,66.49712,
-88.79066622,33.27422844,66.49712,
-88.79066604,33.27465887,66.39712,
-88.7906642,33.27412081,66.59712,
-88.7906639,33.27405972,66.49712,
-88.79066343,33.27440148,66.49712,
-88.79065883,33.27443887,66.49712,
-88.79065776,33.27406637,66.49712,
-88.79065747,33.27410505,66.59712,
-88.79065599,33.27519924,66.49712,
-88.79065578,33.27405652,66.59712,
-88.790655,33.27421434,66.49712,
-88.79065287,33.27407874,66.49712,
-88.79065275,33.27464398,66.29712,
-88.7906525,33.27409204,66.59712,
-88.79064983,33.2744174,66.49712,
-88.79064665,33.27445593,66.39712,
-88.79064159,33.27419857,66.59712,
-88.79064153,33.27463034,66.29712,
-88.79063848,33.27406126,66.69712,
-88.7906366,33.27443309,66.49712,
-88.7906362,33.27519198,66.39712,
-88.79063363,33.27447231,66.29712,
-88.79063297,33.27461318,66.29712,
-88.79062874,33.27418135,66.59712,
-88.79062624,33.27459567,66.49712,
-88.79062603,33.27407446,66.49712,
-88.79062328,33.27444731,66.39712,
-88.79062289,33.27448992,66.39712,
-88.79062046,33.274578,66.29712,
-88.79061709,33.27416249,66.49712,
-88.79061622,33.27518844,66.39712,
-88.790616,33.27408385,66.59712,
-88.79061529,33.27455738,66.39712,
-88.79061474,33.27446745,66.39712,
-88.79061177,33.2745334,66.39712,
-88.79061067,33.27450543,66.29712,
-88.79060867,33.27451005,66.39712,
-88.79060829,33.27409414,67.09712,
-88.79060621,33.2741447,66.39712,
-88.79060555,33.27448895,66.39712,
-88.7906009,33.27452089,66.39712,
-88.79060072,33.27411058,66.39712,
-88.79059921,33.27412813,66.49712,
-88.7905955,33.27518534,66.39712,
-88.79059099,33.27453509,66.39712,
-88.79057871,33.27454661,66.29712,
-88.79057389,33.27518402,66.39712,
-88.79056566,33.27455738,66.39712,
-88.79055141,33.27518477,66.39712,
-88.7905488,33.27456498,66.49712,
-88.79052799,33.27518553,66.39712,
-88.79052571,33.27456703,66.59712,
-88.79050455,33.27518629,66.39712,
-88.79050269,33.27456906,66.59712,
-88.79048307,33.27518704,66.29712,
-88.7904789,33.27457113,66.49712,
-88.79046026,33.2751878,66.39712,
-88.79045802,33.27457383,66.29712,
-88.79044166,33.2736729,66.59712,
-88.790441,33.27368806,66.59712,
-88.7904374,33.27370318,66.59712,
-88.79043713,33.27518857,66.39712,
-88.79043464,33.2745777,66.29712,
-88.79043439,33.27365353,66.59712,
-88.79043277,33.27372016,66.69712,
-88.79042501,33.2736378,66.49712,
-88.79042462,33.27373615,66.59712,
-88.79041402,33.27518932,66.39712,
-88.79041143,33.27362205,66.59712,
-88.79041139,33.2745812,66.29712,
-88.79040933,33.27375,66.59712,
-88.79039581,33.27360558,66.59712,
-88.79039218,33.27519008,66.39712,
-88.7903881,33.27458407,66.39712,
-88.7903876,33.27376449,66.49712,
-88.79038251,33.27359441,66.59712,
-88.79037215,33.27377517,66.59712,
-88.79036977,33.27519084,66.39712,
-88.79036672,33.27458693,66.39712,
-88.79036408,33.27358086,66.59712,
-88.79035663,33.2737823,66.59712,
-88.79034956,33.27519458,66.49712,
-88.79034851,33.27458506,66.29712,
-88.7903422,33.2735652,66.59712,
-88.79033947,33.27378891,66.69712,
-88.79033081,33.2752017,66.39712,
-88.79032985,33.27458178,66.39712,
-88.79032434,33.27379379,66.69712,
-88.79032303,33.27354966,66.59712,
-88.79031419,33.27457632,66.69712,
-88.79031416,33.27379954,67.39712,
-88.79031201,33.27520955,66.29712,
-88.7903066,33.27380577,66.59712,
-88.7902995,33.27456671,66.39712,
-88.79029877,33.27381519,66.59712,
-88.79029788,33.27352897,66.59712,
-88.79029496,33.27521783,66.29712,
-88.79029366,33.27382977,66.59712,
-88.79028713,33.27384311,66.59712,
-88.79028602,33.27455314,66.49712,
-88.79028266,33.27350991,66.59712,
-88.79027842,33.27522644,66.39712,
-88.79027796,33.27385563,66.79712,
-88.79027463,33.27453635,66.39712,
-88.79027179,33.2745164,66.39712,
-88.79027042,33.27449702,66.49712,
-88.79026904,33.27447663,66.49712,
-88.79026766,33.27445767,66.49712,
-88.79026741,33.27386987,66.49712,
-88.7902663,33.27444083,66.39712,
-88.79026568,33.27349182,66.59712,
-88.79026492,33.27442364,66.59712,
-88.79026143,33.27440647,66.39712,
-88.7902597,33.27523507,66.29712,
-88.79025781,33.27347343,66.59712,
-88.79025498,33.27388437,66.49712,
-88.79025271,33.2743876,66.39712,
-88.79024559,33.27345663,66.59712,
-88.79024454,33.27389964,66.49712,
-88.79024371,33.27436716,66.39712,
-88.79024344,33.27524248,66.29712,
-88.7902361,33.27434554,66.39712,
-88.79023183,33.27432896,66.39712,
-88.79023091,33.27344206,66.49712,
-88.79023008,33.27391559,66.39712,
-88.79022782,33.27431073,66.49712,
-88.79022769,33.27524147,66.29712,
-88.79022699,33.27415062,66.39712,
-88.79022625,33.27416389,66.99712,
-88.79022589,33.27428893,66.39712,
-88.79022416,33.27418077,66.49712,
-88.79022395,33.27426744,66.39712,
