Longitude,Latitude,ElevationBottom
-88.78889013,33.27710094,-1.8
-88.78888709,33.27316314,-2
-88.78888425,33.2735704,-2.1
-88.78888237,33.27368549,-2
-88.78887935,33.27763487,-1.7
-88.78887894,33.27345853,-1.9
-88.78887806,33.27711293,-1.8
-88.78886387,33.27712453,-1.8
-88.78886265,33.27316686,-2.1
-88.78886216,33.27764442,-1.7
-88.78886132,33.27358037,-2
-88.78885014,33.27713755,-1.8
-88.78884547,33.27345744,-2
-88.78884371,33.27765292,-1.7
-88.78884227,33.27368778,-2
-88.78883821,33.27358897,-2
-88.78883703,33.27317006,-2.1
-88.78883679,33.27714944,-1.8
-88.78882672,33.27766027,-1.7
-88.78882386,33.27716239,-1.8
-88.7888148,33.27359765,-2
-88.78881401,33.27345634,-2
-88.78881218,33.27717353,-1.8
-88.78880875,33.27368863,-2
-88.78880826,33.27766632,-1.7
-88.7888046,33.27317257,-2.1
-88.7888004,33.27718351,-1.8
-88.78879144,33.27360558,-2
-88.78879103,33.27719545,-1.8
-88.7887899,33.27767431,-1.7
-88.7887818,33.27720585,-1.8
-88.78878013,33.27345329,-1.9
-88.78878012,33.27317508,-2.1
-88.788776,33.2776875,-1.8
-88.78877251,33.27721621,-1.8
-88.78877195,33.27368338,-2.1
-88.78876832,33.27361222,-2.1
-88.78876446,33.2776999,-1.8
-88.78876062,33.27722335,-1.8
-88.78875928,33.27317306,-2
-88.78875161,33.27771231,-1.8
-88.78874917,33.27344759,-2
-88.78874836,33.27722849,-0.8
-88.78874525,33.27361841,-2
-88.78873997,33.27772435,-1.9
-88.78873887,33.27316485,-2.1
-88.78873768,33.27367884,-1.9
-88.7887329,33.27723126,-1.7
-88.78872824,33.277737,-1.8
-88.7887195,33.27362471,-1.9
-88.78871892,33.27344062,-1.9
-88.78871641,33.27315451,-2
-88.78871532,33.27774912,-1.8
-88.78871482,33.27723406,-1.8
-88.78870371,33.27776123,-1.7
-88.78870096,33.27367454,-2
-88.78869887,33.27723307,-1.8
-88.78869609,33.27314443,-2.1
-88.78869578,33.27363107,-1.9
-88.78869519,33.27342861,-2.1
-88.78869338,33.27777425,-1.8
-88.78868299,33.27778685,-1.7
-88.78868058,33.27722244,-1.8
-88.78867265,33.2736371,-2
-88.78867253,33.27341436,-2
-88.78867136,33.27313668,-2.1
-88.78867118,33.27779677,-1.8
-88.78866662,33.27366846,-1.9
-88.78866502,33.27721158,-1.5
-88.78865893,33.2778047,-1.7
-88.78865392,33.2729164,-2
-88.78865389,33.27291853,-2
-88.78865138,33.27720103,-1.8
-88.78865095,33.2729143,-2
-88.7886509,33.27312632,-2.1
-88.78865063,33.27339641,-2
-88.78864796,33.27291158,-2
-88.78864706,33.27364221,-2.1
-88.78864647,33.27291737,-2
-88.78864483,33.27781119,-1.7
-88.78864265,33.27290378,-1.9
-88.78863647,33.27719076,-1.8
