"","depth","long","lat"
"116",-2.11614911819968,333420.247685838,3682641.50535348
"117",-2.11827425929385,333435.247685838,3682641.50535348
"118",-2.12021609047045,333450.247685838,3682641.50535348
"119",-2.12189526998458,333465.247685838,3682641.50535348
"120",-2.12321295928749,333480.247685838,3682641.50535348
"121",-2.12404795130885,333495.247685838,3682641.50535348
"122",-2.12425665205701,333510.247685838,3682641.50535348
"123",-2.12368066470706,333525.247685838,3682641.50535348
"124",-2.12217008440767,333540.247685838,3682641.50535348
"125",-2.11963724259025,333555.247685838,3682641.50535348
"126",-2.11618376899416,333570.247685838,3682641.50535348
"127",-2.11241403384104,333585.247685838,3682641.50535348
"128",-2.10992091733572,333600.247685838,3682641.50535348
"129",-2.11092124341997,333615.247685838,3682641.50535348
"130",-2.11600547920176,333630.247685838,3682641.50535348
"131",-2.12342397614659,333645.247685838,3682641.50535348
"132",-2.13134285852494,333660.247685838,3682641.50535348
"133",-2.13874380438639,333675.247685838,3682641.50535348
"134",-2.1452131023812,333690.247685838,3682641.50535348
"135",-2.15075668182236,333705.247685838,3682641.50535348
"136",-2.15557012243877,333720.247685838,3682641.50535348
"137",-2.15987153110786,333735.247685838,3682641.50535348
"138",-2.16382994136628,333750.247685838,3682641.50535348
"139",-2.16755483301209,333765.247685838,3682641.50535348
"140",-2.17110990380037,333780.247685838,3682641.50535348
"141",-2.17452846358901,333795.247685838,3682641.50535348
"142",-2.17782448713403,333810.247685838,3682641.50535348
"143",-2.18100132933578,333825.247685838,3682641.50535348
"144",-2.18405917461541,333840.247685838,3682641.50535348
"145",-2.18700035316072,333855.247685838,3682641.50535348
"146",-2.18983200062296,333870.247685838,3682641.50535348
"147",-2.19256655002928,333885.247685838,3682641.50535348
"148",-2.19522089238748,333900.247685838,3682641.50535348
"149",-2.19781489211266,333915.247685838,3682641.50535348
"150",-2.2003697306145,333930.247685838,3682641.50535348
"151",-2.20290638240865,333945.247685838,3682641.50535348
"152",-2.20544437658532,333960.247685838,3682641.50535348
"153",-2.20800088211602,333975.247685838,3682641.50535348
"154",-2.21059011010809,333990.247685838,3682641.50535348
"155",-2.21322303667399,334005.247685838,3682641.50535348
"156",-2.21590747216767,334020.247685838,3682641.50535348
"157",-2.21864850234928,334035.247685838,3682641.50535348
"158",-2.22144929857943,334050.247685838,3682641.50535348
"159",-2.22431224797738,334065.247685838,3682641.50535348
"160",-2.22724030100326,334080.247685838,3682641.50535348
"161",-2.23023837377765,334095.247685838,3682641.50535348
"162",-2.2333145688671,334110.247685838,3682641.50535348
"163",-2.23648089715005,334125.247685838,3682641.50535348
"164",-2.23975313990374,334140.247685838,3682641.50535348
"165",-2.24314957005507,334155.247685838,3682641.50535348
