Gear Type,Waypoint,Set Time,Pull time,Set Time,DO (mg/L),Temp ©,Turbidity (cm),Species,Length,Weight,Tag Number,Second Tag,Pannel Number,Bead Color,Mortality 0=Dead 1=Alive 
Gillnet,51,6/18/2019 19:10,6/19/2019 11:56,16.767,6.980,29.000,62,Smallmouth Buffalo,579,,,,1,,1
Gillnet,51,6/18/2019 19:10,6/19/2019 11:56,16.767,6.980,29.000,62,Gizzard Shad,248,,,,2,,0
Gillnet,51,6/18/2019 19:10,6/19/2019 11:56,16.767,6.980,29.000,62,Gizzard Shad,250,,,,2,,0
Gillnet,51,6/18/2019 19:10,6/19/2019 11:56,16.767,6.980,29.000,62,Gizzard Shad,230,,,,2,,0
Gillnet,51,6/18/2019 19:10,6/19/2019 11:56,16.767,6.980,29.000,62,Spotted Gar,720,,,,2,,0
Gillnet,51,6/18/2019 19:10,6/19/2019 11:56,16.767,6.980,29.000,62,Gizzard Shad,246,,,,2,,0
Gillnet,51,6/18/2019 19:10,6/19/2019 11:56,16.767,6.980,29.000,62,Gizzard Shad,255,,,,2,,0
Gillnet,51,6/18/2019 19:10,6/19/2019 11:56,16.767,6.980,29.000,62,Spotted Gar,621,,,,2,,1
Gillnet,51,6/18/2019 19:10,6/19/2019 11:56,16.767,6.980,29.000,62,Spotted Gar,568,,,,2,,1
Gillnet,51,6/18/2019 19:10,6/19/2019 11:56,16.767,6.980,29.000,62,Gizzard Shad,240,,,,2,,0
Gillnet,51,6/18/2019 19:10,6/19/2019 11:56,16.767,6.980,29.000,62,Gizzard Shad,240,,,,2,,0
Gillnet,51,6/18/2019 19:10,6/19/2019 11:56,16.767,6.980,29.000,62,Spotted Gar,246,,,,2,,0
Gillnet,51,6/18/2019 19:10,6/19/2019 11:56,16.767,6.980,29.000,62,Gizzard Shad,258,,,,2,,0
Gillnet,51,6/18/2019 19:10,6/19/2019 11:56,16.767,6.980,29.000,62,Gizzard Shad,668,,,,2,,0
Gillnet,51,6/18/2019 19:10,6/19/2019 11:56,16.767,6.980,29.000,62,Gizzard Shad,160,,,,4,,0
Gillnet,51,6/18/2019 19:10,6/19/2019 11:56,16.767,6.980,29.000,62,Gizzard Shad,148,,,,4,,0
Gillnet,51,6/18/2019 19:10,6/19/2019 11:56,16.767,6.980,29.000,62,Threadfin Shad,148,,,,4,,0
