Gear Type,Waypoint,Set Time,Pull time,Set Time,Turbidity (cm),Depth (cm),Species,Length,Weight,Tag Number,Second Tag,Pannel Number,,
Fyke,1E14,2/7/2020 15:39,2/8/2020 12:02,,32,210,White Crappie,238,0.2,,,,,
Fyke,1E14,2/7/2020 15:39,2/8/2020 12:02,,32,210,White Crappie,213,0.1,,,,,
Fyke,1E14,2/7/2020 15:39,2/8/2020 12:02,,32,210,White Crappie,144,,,,,,
Fyke,1E14,2/7/2020 15:39,2/8/2020 12:02,,32,210,Warmouth,234,0.25,,,,,
Fyke,1E14,2/7/2020 15:39,2/8/2020 12:02,,32,210,White Crappie,265,0.25,13528,,,,
Fyke,1E14,2/7/2020 15:39,2/8/2020 12:02,,32,210,Blacktail Redhorse,204,,,,,,
Fyke,1E14,2/7/2020 15:39,2/8/2020 12:02,,32,210,Warmouth,209,0.2,,,,,
Fyke,1E14,2/7/2020 15:39,2/8/2020 12:02,,32,210,Bluegill,76,,,,,,
Fyke,1E23,2/7/2020 15:59,2/8/2020 12:56,,,,NA,,,,,,,
Fyke,2E13,2/8/2020 10:53,2/9/2020 10:31,,31,70,White Crappie,361,0.75,13051,,,,
Fyke,2E13,2/8/2020 10:53,2/9/2020 10:31,,31,70,Warmouth,222,0.25,,,,,
Fyke,2E12,2/8/2020 11:24,2/9/2020 8:47,,25,25,Black Crappie,370,,,,,,
Fyke,2E12,2/8/2020 11:24,2/9/2020 8:47,,25,25,Black Crappie,361,,,,,,
Fyke,2E12,2/8/2020 11:24,2/9/2020 8:47,,25,25,White Crappie,198,,,,,,
Fyke,2E12,2/8/2020 11:24,2/9/2020 8:47,,25,25,Spotted Gar,475,,,,,,
Fyke,2E12,2/8/2020 11:24,2/9/2020 8:47,,25,25,Spotted Gar,500,,,,,,
Fyke,2E12,2/8/2020 11:24,2/9/2020 8:47,,25,25,Black Crappie,165,,,,,,
Fyke,2E12,2/8/2020 11:24,2/9/2020 8:47,,25,25,White Crappie,157,,,,,,
Fyke,2E12,2/8/2020 11:24,2/9/2020 8:47,,25,25,Bluegill,50,,,,,,
Fyke,2E12,2/8/2020 11:24,2/9/2020 8:47,,25,25,Black Crappie,154,,,,,,
Fyke,2E12,2/8/2020 11:24,2/9/2020 8:47,,25,25,Warmouth,66,,,,,,
Fyke,2E12,2/8/2020 11:24,2/9/2020 8:47,,25,25,Bluegill,80,,,,,,
Fyke,2E12,2/8/2020 11:24,2/9/2020 8:47,,25,25,Bluegill,68,,,,,,
Fyke,2E12,2/8/2020 11:24,2/9/2020 8:47,,25,25,Bluegill,112,,,,,,
Fyke,2E12,2/8/2020 11:24,2/9/2020 8:47,,25,25,Bluegill,101,,,,,,
Fyke,2E12,2/8/2020 11:24,2/9/2020 8:47,,25,25,Green Sunfish,54,,,,,,
Fyke,2E12,2/8/2020 11:24,2/9/2020 8:47,,25,25,Striped Shiner,110,,,,,,
Fyke,2E12,2/8/2020 11:24,2/9/2020 8:47,,25,25,Striped Shiner,95,,,,,,
