"","ElevationBottom","Longitude","Latitude","optional"
"3839",-2.1,333744.91998214,3683041.7419185,TRUE
"3840",-1.9,333748.987259462,3683272.78652498,TRUE
"3841",-1.9,333754.872645131,3683613.72756101,TRUE
"3842",-2.2,333745.36580371,3683046.50935742,TRUE
"3843",-2.2,333745.729866449,3683051.29039548,TRUE
"3844",-1.9,333749.591097411,3683268.05215825,TRUE
"3845",-2.2,333746.093016521,3683056.07255836,TRUE
"3846",-2.2,333742.531148025,3682845.2010826,TRUE
"3847",-2.1,333740.937075366,3682751.64380896,TRUE
"3848",-2.2,333746.599532915,3683060.84783306,TRUE
"3849",-1.7,333758.929879662,3683772.02955449,TRUE
"3850",-1.9,333750.366526785,3683263.32705849,TRUE
"3851",-2.1,333747.220393719,3683065.4991417,TRUE
"3852",-2.2,333743.698213146,3682849.48256454,TRUE
"3853",-2,333756.853967878,3683613.98095772,TRUE
"3854",-2.1,333747.84691386,3683070.26349098,TRUE
"3855",-1.9,333751.3359284,3683258.88481301,TRUE
"3856",-1.8,333759.249708399,3683720.02077696,TRUE
"3857",-2.2,333748.398560276,3683074.95369566,TRUE
"3858",-1.9,333753.741266031,3683377.97071332,TRUE
"3859",-2.2,333748.852850495,3683079.45367524,TRUE
"3860",-2.3,333745.018167109,3682854.25945855,TRUE
"3861",-1.8,333760.8984297,3683775.78710297,TRUE
"3862",-1.9,333758.180451049,3683615.54885252,TRUE
"3863",-2,333743.536373445,3682752.17281731,TRUE
"3864",-2.1,333749.316594692,3683084.23411823,TRUE
"3865",-1.9,333752.227633823,3683254.20320204,TRUE
"3866",-2.1,333749.775643481,3683089.01242316,TRUE
"3867",-2,333758.882944008,3683613.75215113,TRUE
"3868",-2.1,333750.247770081,3683093.79272289,TRUE
"3869",-2.2,333746.305261262,3682858.42242356,TRUE
"3870",-1.9,333753.08368528,3683249.39797161,TRUE
"3871",-2.2,333750.896249076,3683098.42470331,TRUE
"3872",-1.8,333755.796626148,3683373.94248094,TRUE
"3873",-2,333753.73797388,3683244.72596665,TRUE
"3874",-1.8,333762.892469387,3683779.01956855,TRUE
"3875",-2.3,333751.580857034,3683103.20802502,TRUE
"3876",-2.2,333747.532332195,3682863.21643461,TRUE
"3877",-2,333754.091303375,3683239.94375229,TRUE
"3878",-2,333754.37181143,3683235.15280049,TRUE
"3879",-1.8,333762.620319728,3683717.07258256,TRUE
"3880",-2,333746.127627681,3682752.34036815,TRUE
"3881",-2.3,333752.280388856,3683107.93785048,TRUE
"3882",-2,333760.957558356,3683613.52256451,TRUE
