"","Longitude","Latitude","ElevationBottom"
"164",-88.7816591394656,33.2727410194403,-2.2
"165",-88.7816539449268,33.272784140956,-2.2
"166",-88.7816486881828,33.2728228874633,-2.1
"167",-88.7816429759012,33.2728659672609,-2.2
"168",-88.7816397990516,33.2729124190936,-2.2
"169",-88.781638596957,33.272952839685,-2.2
"170",-88.7816373931302,33.2729943581036,-2.2
"171",-88.781636186994,33.2730375038745,-2.2
"172",-88.781634975084,33.2730840001524,-2.2
"173",-88.7816337764536,33.2731280065297,-2.2
"174",-88.7816325841744,33.2731701617691,-2.2
"175",-88.7816310755285,33.2732132176855,-2.3
"176",-88.7816259885302,33.2732563201275,-2.3
"177",-88.7816205922341,33.2732961495269,-2.2
"178",-88.7816146286215,33.2733387453347,-2.3
"179",-88.7816088196695,33.2733780721138,-2.3
"180",-88.7816031247489,33.2734212344841,-2.3
"181",-88.7815979322344,33.2734632583456,-2.3
"182",-88.7815927158256,33.2735074601612,-2.3
"183",-88.7815875308737,33.2735505758157,-2.3
"184",-88.7815823325251,33.2735936721433,-2.2
"185",-88.7815771153956,33.2736355993735,-2.3
"186",-88.7815709488092,33.2736788364076,-2.3
"187",-88.781565041085,33.2737209288715,-2.2
"188",-88.78155926293,33.2737638321374,-2.2
"189",-88.7815546125328,33.2738071019236,-2.2
"190",-88.7815505954095,33.2738518455337,-2.3
"191",-88.7815502742911,33.2738966330633,-2.2
"192",-88.7815499061042,33.273938637346,-2.3
"193",-88.7815495846762,33.2739882984196,-2.3
"194",-88.7815492635578,33.274031387847,-2.3
"195",-88.7815489398073,33.2740744594376,-2.2
"196",-88.7815486193082,33.2741176136342,-2.3
"197",-88.781548297106,33.2741607121594,-2.2
"198",-88.7815479749038,33.2742045971447,-2.2
"199",-88.7815476517726,33.274246885352,-2.2
"200",-88.7815473337508,33.2742889771159,-2.2
"201",-88.7815470126324,33.2743320538048,-2.2
"202",-88.7815466956945,33.2743740350905,-2.2
"203",-88.7815463803048,33.2744167156645,-2.1
"204",-88.7815460556253,33.2744612500802,-2.2
"205",-88.7815457340424,33.2745026038075,-2.2
"206",-88.7815454121499,33.2745454870833,-2.2
"207",-88.7815450870059,33.274589533067,-2.1
"208",-88.7815447660423,33.2746317972887,-2.2
"209",-88.7815444464723,33.274674756992,-2.2
"210",-88.7815441216379,33.2747148052775,-2.2
"211",-88.7815437971133,33.2747579779744,-2.1
"212",-88.7815434742917,33.2748009795417,-2.2
"213",-88.78154315627,33.2748421085667,-2.2
"214",-88.7815428363902,33.2748818419138,-2.2
"215",-88.781542513259,33.2749251737194,-2.1
"216",-88.7815421932245,33.2749680498182,-2.2
"217",-88.781541873035,33.2750101169405,-2.1
"218",-88.7815409244931,33.2750500720476,-2.2
"219",-88.7815388711114,33.275093118327,-2.1
"220",-88.781536833632,33.2751360715132,-2.1
"221",-88.7815347703115,33.2751749424477,-2.1
"222",-88.7815327348199,33.2752170981751,-2.1
"223",-88.7815307301273,33.2752591208611,-2.2
"224",-88.7815286997953,33.275298794269,-2.2
"225",-88.781526658695,33.2753421220086,-2.2
"226",-88.7815246332578,33.27538092492,-2.2
"227",-88.7815244357567,33.2754240756225,-2.2
"228",-88.7815257991941,33.2754646457837,-2.2
"229",-88.7815271483069,33.2755060609801,-2.2
"230",-88.7815285071864,33.2755472996125,-2.2
"231",-88.781529838068,33.2755920176369,-2.1
"232",-88.7815311871808,33.2756310057274,-2.1
"233",-88.7815325310846,33.2756730122131,-2.1
"234",-88.7815329505232,33.2757173102873,-2.1
"235",-88.7815332504346,33.2757592754372,-2.1
"236",-88.7815335514978,33.275799098491,-2.2
"237",-88.7815338522731,33.2758423643327,-2.1
"238",-88.7815341495928,33.2758854002802,-2.2
"239",-88.7815344506561,33.2759285064015,-2.1
"240",-88.7815347475438,33.2759707870106,-2.1
"241",-88.78153504184,33.2760136738186,-2.1
"242",-88.7815353407435,33.276053916458,-2.1
"243",-88.7815356363354,33.2760954887911,-2.1
"244",-88.7815359359589,33.2761382000888,-2.1
"245",-88.7815362345744,33.276180728319,-2.1
"246",-88.7815365337659,33.2762231379179,-2.1
"247",-88.7815368307977,33.27626267485,-2.1
"248",-88.781537130853,33.2763057453294,-2.2
"249",-88.7815374280288,33.2763488643558,-2.2
"250",-88.7815377230448,33.2763909478289,-2.1
"251",-88.7815380216604,33.2764298594901,-2.1
"252",-88.7815383215717,33.2764727841631,-2.2
"253",-88.7815386157239,33.2765160195163,-2.1
"254",-88.7815389127557,33.2765580787145,-2.2
"255",-88.7815392148268,33.2765979225171,-2.2
"256",-88.7815395144502,33.276640945052,-2.1
"257",-88.7815398150815,33.276684191491,-2.1
"258",-88.7815401168646,33.276724750488,-2.1
"259",-88.7815404149042,33.2767671727557,-2.1
"260",-88.7815407159674,33.2768102453676,-2.1
"261",-88.781541014439,33.2768522652285,-2.1
"262",-88.7815413147823,33.2768922855132,-2.1
"263",-88.7815416157016,33.2769352648472,-2.1
"264",-88.7815434711246,33.2769740254243,-2.1
"265",-88.781545653812,33.2770172190526,-2.1
"266",-88.7815478270867,33.2770559940629,-2.1
"267",-88.7815500129117,33.277100218513,-2.2
"268",-88.7815528149262,33.2771389185632,-2.1
"269",-88.7815558841113,33.2771809504644,-2.1
"270",-88.7815589637156,33.2772242087683,-2.1
"271",-88.7815616286712,33.2772633356229,-2.1
"272",-88.7815649668737,33.2773060130191,-2.1
"273",-88.7815682539649,33.2773454520912,-2.1
"274",-88.781573595714,33.2773879455768,-2
"275",-88.7815796454338,33.2774310473658,-2.1
"276",-88.7815874124717,33.2774699424144,-2
"277",-88.7815951375302,33.2775130203046,-2
"278",-88.7816018254203,33.2775558028869,-2
"279",-88.7816077874448,33.2775949305077,-2
"280",-88.78161323902,33.2776369790978,-2.1
"281",-88.7816197945549,33.277676460467,-2
"282",-88.781625790788,33.2777199690153,-2
"283",-88.7816313422531,33.2777588620175,-2
"284",-88.7816374735967,33.2778019380402,-2
"285",-88.7816436631799,33.2778396647352,-2
"286",-88.7816499151974,33.2778882082829,-2
"287",-88.781655384595,33.2779273792375,-2.1
"288",-88.7816613710684,33.277969986349,-2
"289",-88.7816680035577,33.2780121348887,-2
"290",-88.7816750732265,33.2780509339232,-2
"291",-88.7816811263288,33.2780939708834,-2
"292",-88.7816867124682,33.2781339323916,-2
"293",-88.7816915782495,33.2781759542557,-2
"294",-88.7816959852938,33.2782157303909,-2
"295",-88.781699764753,33.278257819663,-2
"296",-88.7817036026794,33.2782978482985,-2
"297",-88.7817079894313,33.2783408892644,-2
"298",-88.7817123381293,33.2783796686844,-2
"299",-88.7817195663118,33.2784225987675,-2
"300",-88.7817277718808,33.2784615612303,-2
"301",-88.7817363141567,33.2785047465258,-2
"302",-88.7817448362802,33.2785446745575,-2
"303",-88.7817537583179,33.2785834719248,-2
"304",-88.7817638895867,33.2786265887829,-2
"305",-88.7817752177243,33.2786771931266,-2
"306",-88.781790099378,33.278725668059,-1.9
"307",-88.7817991882403,33.2787655315913,-2
"308",-88.7818056620735,33.2788075798147,-1.9
"309",-88.7818111489215,33.2788507340312,-2
"310",-88.781813790694,33.27889034658,-2
"311",-88.781816449211,33.2789358341821,-1.9
"312",-88.7818191244726,33.2789790031715,-2
"313",-88.7818231926485,33.2790177876457,-2
"314",-88.7818280604881,33.2790609366782,-2
"315",-88.7818333645317,33.2791034908752,-2
"316",-88.7818388663946,33.2791460461949,-2
"317",-88.7818446582307,33.2791884587235,-2
"318",-88.7818475370158,33.2792290484865,-2
"319",-88.7818483060581,33.2792711111762,-2
"320",-88.7818490821523,33.2793143036572,-2
"321",-88.7818498556485,33.2793542203554,-2
"322",-88.7818506295158,33.2793972682559,-2
"323",-88.7818513952176,33.2794401770591,-1.9
"324",-88.7818521579501,33.2794823012263,-2
"325",-88.7818529292193,33.2795236882131,-1.9
"326",-88.7818536893537,33.2795675297296,-1.9
"327",-88.7818544602517,33.2796073291398,-1.9
"328",-88.7818552344902,33.2796505267425,-2
"329",-88.7818560009343,33.2796928329966,-1.9
"330",-88.7818546221653,33.2797354522622,-1.9
"331",-88.7818530450326,33.279777774559,-1.9
"332",-88.7818514755189,33.2798208071137,-1.9
"333",-88.7818499014338,33.279859602834,-1.9
"334",-88.781848363158,33.2799016131802,-1.9
"335",-88.7818455766737,33.2799447882372,-1.9
"336",-88.7818378406679,33.2799843456708,-2
"337",-88.7818329807734,33.2800267455055,-1.9
"338",-88.7818285471591,33.2800665580097,-1.9
