,X,DO,POINT_X,POINT_Y,Temp
208,2158,8.562521154,333730.6178,3682817.015,28.49196947
209,2159,8.579880317,333745.6178,3682817.015,28.49059894
210,2160,8.602510357,333760.6178,3682817.015,28.49390831
211,2161,8.629647894,333775.6178,3682817.015,28.50160092
212,2162,8.660118531,333790.6178,3682817.015,28.51300518
213,2163,8.692373135,333805.6178,3682817.015,28.52710064
214,2164,8.724551615,333820.6178,3682817.015,28.54256119
215,2165,8.754600766,333835.6178,3682817.015,28.55783662
216,2166,8.780466066,333850.6178,3682817.015,28.57129105
217,2167,8.800354175,333865.6178,3682817.015,28.58140152
218,2168,8.813026235,333880.6178,3682817.015,28.58699184
219,2169,8.818047084,333895.6178,3682817.015,28.58744749
220,2170,8.815905904,333910.6178,3682817.015,28.58284421
221,2171,8.807955534,333925.6178,3682817.015,28.57394151
222,2172,8.796180936,333940.6178,3682817.015,28.56203842
223,2173,8.782868026,333955.6178,3682817.015,28.54873798
224,2174,8.770268429,333970.6178,3682817.015,28.5356915
225,2175,8.760336023,333985.6178,3682817.015,28.52438491
226,2176,8.754567026,334000.6178,3682817.015,28.51599858
227,2177,8.753934196,334015.6178,3682817.015,28.51134036
228,2178,8.75888343,334030.6178,3682817.015,28.51083236
229,2179,8.769358489,334045.6178,3682817.015,28.51452791
230,2180,8.784829528,334060.6178,3682817.015,28.52214105
231,2181,8.804315915,334075.6178,3682817.015,28.53308153
232,2182,8.826409025,334090.6178,3682817.015,28.5464989
233,2183,8.849313827,334105.6178,3682817.015,28.5613487
234,2184,8.870937219,334120.6178,3682817.015,28.57649751
235,2185,8.889051885,334135.6178,3682817.015,28.59088148
236,2186,8.901551683,334150.6178,3682817.015,28.60371855
237,2187,8.906784136,334165.6178,3682817.015,28.61474896
238,2188,8.903902228,334180.6178,3682817.015,28.62444747
239,2189,8.893138481,334195.6178,3682817.015,28.6341275
240,2190,8.875895104,334210.6178,3682817.015,28.64586232
241,2191,8.854581976,334225.6178,3682817.015,28.66218628
242,2198,8.786037089,334330.6178,3682817.015,28.96387365
243,2199,8.789000051,334345.6178,3682817.015,28.99184308
244,2200,8.789426442,334360.6178,3682817.015,28.99552666
245,2201,8.786435827,334375.6178,3682817.015,28.97209059
246,2202,8.780825905,334390.6178,3682817.015,28.92516235
247,2203,8.774412253,334405.6178,3682817.015,28.86425837
248,2204,8.768737207,334420.6178,3682817.015,28.80087882
249,2205,8.764149343,334435.6178,3682817.015,28.74379834
250,2206,8.759865143,334450.6178,3682817.015,28.69681891
251,2344,8.437011612,333505.6178,3682832.015,28.48290093
252,2345,8.47152028,333520.6178,3682832.015,28.51484589
253,2346,8.503899597,333535.6178,3682832.015,28.5448202
254,2347,8.532822739,333550.6178,3682832.015,28.57149763
255,2348,8.556912644,333565.6178,3682832.015,28.5934202
256,2349,8.574955228,333580.6178,3682832.015,28.60918447
257,2350,8.586170152,333595.6178,3682832.015,28.61770095
258,2351,8.590473575,333610.6178,3682832.015,28.61847242
259,2352,8.588639657,333625.6178,3682832.015,28.61180303
260,2353,8.582281117,333640.6178,3682832.015,28.59885043
261,2354,8.573631173,333655.6178,3682832.015,28.58148359
262,2355,8.565189941,333670.6178,3682832.015,28.56198622
263,2356,8.559347886,333685.6178,3682832.015,28.54270432
264,2357,8.558089185,333700.6178,3682832.015,28.52574078
265,2358,8.56282386,333715.6178,3682832.015,28.51275808
266,2359,8.574338466,333730.6178,3682832.015,28.50489428
267,2360,8.592820667,333745.6178,3682832.015,28.50275953
268,2361,8.617908591,333760.6178,3682832.015,28.50646923
269,2362,8.648731167,333775.6178,3682832.015,28.51567912
270,2363,8.683928737,333790.6178,3682832.015,28.52960614
271,2364,8.721666741,333805.6178,3682832.015,28.54703893
272,2365,8.759675781,333820.6178,3682832.015,28.56636092
273,2366,8.795364242,333835.6178,3682832.015,28.58562192
274,2367,8.826045684,333850.6178,3682832.015,28.6026955
275,2368,8.849291722,333865.6178,3682832.015,28.61553921
276,2369,8.863360546,333880.6178,3682832.015,28.62252966
277,2370,8.86758435,333895.6178,3682832.015,28.62278948
278,2371,8.862571069,333910.6178,3682832.015,28.61639271
279,2372,8.850124439,333925.6178,3682832.015,28.60436152
280,2373,8.832897742,333940.6178,3682832.015,28.58844823
281,2374,8.813904099,333955.6178,3682832.015,28.57078318
282,2375,8.796043049,333970.6178,3682832.015,28.55350875
283,2376,8.781759076,333985.6178,3682832.015,28.53849574
284,2377,8.77286684,334000.6178,3682832.015,28.52718077
285,2378,8.770511806,334015.6178,3682832.015,28.52051088
286,2379,8.775206937,334030.6178,3682832.015,28.51895605
287,2380,8.78689016,334045.6178,3682832.015,28.52254983
288,2381,8.804966954,334060.6178,3682832.015,28.5309314
289,2382,8.828325382,334075.6178,3682832.015,28.54337958
290,2383,8.855332164,334090.6178,3682832.015,28.55884521
291,2384,8.883837782,334105.6178,3682832.015,28.57600219
292,2385,8.911235206,334120.6178,3682832.015,28.5933464
293,2386,8.934625375,334135.6178,3682832.015,28.60937275
294,2387,8.951131506,334150.6178,3682832.015,28.62284399
295,2388,8.958361246,334165.6178,3682832.015,28.63312698
296,2389,8.954940026,334180.6178,3682832.015,28.64051657
297,2390,8.940958762,334195.6178,3682832.015,28.64642138
298,2391,8.918148105,334210.6178,3682832.015,28.65328629
299,2392,8.889654813,334225.6178,3682832.015,28.66419564
300,2398,8.783362744,334315.6178,3682832.015,28.89647647
301,2399,8.784680365,334330.6178,3682832.015,28.93949573
302,2400,8.786543189,334345.6178,3682832.015,28.96593445
303,2401,8.78667376,334360.6178,3682832.015,28.96855879
304,2402,8.78428957,334375.6178,3682832.015,28.94414416
305,2403,8.780373146,334390.6178,3682832.015,28.89611014
306,2404,8.776834821,334405.6178,3682832.015,28.83453682
307,2405,8.774950045,334420.6178,3682832.015,28.77205946
308,2406,8.774375284,334435.6178,3682832.015,28.71811111
309,2407,8.773520653,334450.6178,3682832.015,28.67604447
310,2408,8.770630944,334465.6178,3682832.015,28.64437337
311,2545,8.456327971,333505.6178,3682847.015,28.5051305
312,2546,8.494879341,333520.6178,3682847.015,28.54103504
313,2547,8.53144291,333535.6178,3682847.015,28.57520555
314,2548,8.564354298,333550.6178,3682847.015,28.60602564
315,2549,8.591792744,333565.6178,3682847.015,28.63162824
316,2550,8.612053361,333580.6178,3682847.015,28.65012458
317,2551,8.623926419,333595.6178,3682847.015,28.65995738
318,2552,8.627093701,333610.6178,3682847.015,28.66030825
319,2553,8.622395186,333625.6178,3682847.015,28.65142338
320,2554,8.611829338,333640.6178,3682847.015,28.63471201
321,2555,8.598249536,333655.6178,3682847.015,28.61254999
322,2556,8.584856972,333670.6178,3682847.015,28.58785222
323,2557,8.574672954,333685.6178,3682847.015,28.56357447
324,2558,8.570149774,333700.6178,3682847.015,28.54230601
325,2559,8.572982927,333715.6178,3682847.015,28.52603594
326,2560,8.584092541,333730.6178,3682847.015,28.51608516
327,2561,8.603695483,333745.6178,3682847.015,28.51314216
328,2562,8.631391963,333760.6178,3682847.015,28.51733269
329,2563,8.666218437,333775.6178,3682847.015,28.52827333
330,2564,8.706652588,333790.6178,3682847.015,28.54508683
331,2565,8.750588382,333805.6178,3682847.015,28.56638586
332,2566,8.795329274,333820.6178,3682847.015,28.59025765
333,2567,8.837672216,333835.6178,3682847.015,28.61430576
334,2568,8.874160348,333850.6178,3682847.015,28.63581459
335,2569,8.901544724,333865.6178,3682847.015,28.6520806
336,2570,8.917401035,333880.6178,3682847.015,28.660886
337,2571,8.920725015,333895.6178,3682847.015,28.66099233
338,2572,8.91226343,333910.6178,3682847.015,28.65246551
339,2573,8.894408826,333925.6178,3682847.015,28.63667941
340,2574,8.870680606,333940.6178,3682847.015,28.6159852
341,2575,8.845003459,333955.6178,3682847.015,28.59318683
342,2576,8.821046735,333970.6178,3682847.015,28.57102283
343,2577,8.801795535,333985.6178,3682847.015,28.55180015
344,2578,8.789380899,334000.6178,3682847.015,28.53722001
345,2579,8.78509661,334015.6178,3682847.015,28.52835485
346,2580,8.789501371,334030.6178,3682847.015,28.52570562
347,2581,8.802524262,334045.6178,3682847.015,28.52927802
348,2582,8.823526115,334060.6178,3682847.015,28.53864115
349,2583,8.85130162,334075.6178,3682847.015,28.55295712
350,2584,8.884033666,334090.6178,3682847.015,28.57099133
351,2585,8.919236845,334105.6178,3682847.015,28.59113192
352,2586,8.95375441,334120.6178,3682847.015,28.61146312
353,2587,8.983896644,334135.6178,3682847.015,28.62994598
354,2588,9.005808498,334150.6178,3682847.015,28.64474566
355,2589,9.016099855,334165.6178,3682847.015,28.65469174
356,2590,9.012645937,334180.6178,3682847.015,28.6597645
357,2591,8.995307243,334195.6178,3682847.015,28.6614092
358,2592,8.966238,334210.6178,3682847.015,28.66246776
359,2593,8.92955877,334225.6178,3682847.015,28.6666392
360,2594,8.890443936,334240.6178,3682847.015,28.67758619
361,2599,8.783978512,334315.6178,3682847.015,28.85738358
362,2600,8.78270918,334330.6178,3682847.015,28.89415921
363,2601,8.783018301,334345.6178,3682847.015,28.91571406
364,2602,8.782796392,334360.6178,3682847.015,28.91558435
365,2603,8.781495158,334375.6178,3682847.015,28.89088688
366,2604,8.78025596,334390.6178,3682847.015,28.84486395
367,2605,8.780864299,334405.6178,3682847.015,28.78733475
368,2606,8.783974037,334420.6178,3682847.015,28.73088698
369,2607,8.788194349,334435.6178,3682847.015,28.68465966
370,2608,8.790942793,334450.6178,3682847.015,28.65102788
371,2609,8.789988504,334465.6178,3682847.015,28.62723336
372,2746,8.473161306,333505.6178,3682862.015,28.52482312
373,2747,8.516028542,333520.6178,3682862.015,28.56481803
374,2748,8.55721081,333535.6178,3682862.015,28.6034651
375,2749,8.594681314,333550.6178,3682862.015,28.6388513
376,2750,8.626103945,333565.6178,3682862.015,28.66865222
377,2751,8.649166091,333580.6178,3682862.015,28.69039974
378,2752,8.662092845,333595.6178,3682862.015,28.70194762
379,2753,8.664225983,333610.6178,3682862.015,28.70204985
380,2754,8.656444422,333625.6178,3682862.015,28.69085096
381,2755,8.641199751,333640.6178,3682862.015,28.67005327
382,2756,8.622095386,333655.6178,3682862.015,28.64264537
383,2757,8.603167315,333670.6178,3682862.015,28.61229279
384,2758,8.588157296,333685.6178,3682862.015,28.58264729
385,2759,8.580016885,333700.6178,3682862.015,28.55681879
386,2760,8.580715105,333715.6178,3682862.015,28.53711516
387,2761,8.5912777,333730.6178,3682862.015,28.52501329
388,2762,8.61193036,333745.6178,3682862.015,28.52125605
389,2763,8.642236332,333760.6178,3682862.015,28.52597249
390,2764,8.681165359,333775.6178,3682862.015,28.5387546
391,2765,8.7270768,333790.6178,3682862.015,28.55866395
392,2766,8.777639549,333805.6178,3682862.015,28.58417643
393,2767,8.829751281,333820.6178,3682862.015,28.61310771
394,2768,8.879561062,333835.6178,3682862.015,28.64259813
395,2769,8.922724083,333850.6178,3682862.015,28.66926253
396,2770,8.95498218,333865.6178,3682862.015,28.68959448
397,2771,8.97302721,333880.6178,3682862.015,28.70061889
398,2772,8.975393632,333895.6178,3682862.015,28.70062162
399,2773,8.962984761,333910.6178,3682862.015,28.68965235
400,2774,8.938934927,333925.6178,3682862.015,28.66953965
401,2775,8.907840651,333940.6178,3682862.015,28.6433947
402,2776,8.874715403,333955.6178,3682862.015,28.61484264
403,2777,8.844090343,333970.6178,3682862.015,28.58730623
404,2778,8.81950014,333985.6178,3682862.015,28.56355178
405,2779,8.803352018,334000.6178,3682862.015,28.54552554
406,2780,8.797036824,334015.6178,3682862.015,28.5343912
407,2781,8.801123904,334030.6178,3682862.015,28.53065346
408,2782,8.815528491,334045.6178,3682862.015,28.53428154
409,2783,8.839595342,334060.6178,3682862.015,28.54478756
410,2784,8.872083084,334075.6178,3682862.015,28.56124804
411,2785,8.911062588,334090.6178,3682862.015,28.58228148
412,2786,8.953772259,334105.6178,3682862.015,28.60601768
413,2787,8.996513708,334120.6178,3682862.015,28.63012011
414,2788,9.034720194,334135.6178,3682862.015,28.65194553
415,2789,9.063357354,334150.6178,3682862.015,28.66892211
416,2790,9.077758726,334165.6178,3682862.015,28.67916153
417,2791,9.074800576,334180.6178,3682862.015,28.68217178
418,2792,9.054025472,334195.6178,3682862.015,28.67936599
419,2793,9.018144887,334210.6178,3682862.015,28.67401874
420,2794,8.972533882,334225.6178,3682862.015,28.67052875
421,2795,8.923846354,334240.6178,3682862.015,28.67321172
422,2799,8.794973995,334300.6178,3682862.015,28.77315026
423,2800,8.785349894,334315.6178,3682862.015,28.80816362
424,2801,8.781239618,334330.6178,3682862.015,28.83627947
425,2802,8.779941441,334345.6178,3682862.015,28.8510418
426,2803,8.779649195,334360.6178,3682862.015,28.84729108
427,2804,8.780103831,334375.6178,3682862.015,28.82306219
428,2805,8.782511413,334390.6178,3682862.015,28.78164023
429,2806,8.788283393,334405.6178,3682862.015,28.7320314
430,2807,8.797132861,334420.6178,3682862.015,28.68564411
431,2808,8.806365016,334435.6178,3682862.015,28.65033388
432,2809,8.812335983,334450.6178,3682862.015,28.62708867
433,2810,8.81248726,334465.6178,3682862.015,28.6119714
434,2811,8.806103011,334480.6178,3682862.015,28.60006735
435,2946,8.439467602,333490.6178,3682877.015,28.49746201
436,2947,8.486105959,333505.6178,3682877.015,28.5406671
437,2948,8.533277866,333520.6178,3682877.015,28.58457145
438,2949,8.579231686,333535.6178,3682877.015,28.62764768
439,2950,8.621581388,333550.6178,3682877.015,28.66770659
440,2951,8.657433551,333565.6178,3682877.015,28.70195092
441,2952,8.68377438,333580.6178,3682877.015,28.7272707
442,2953,8.698139606,333595.6178,3682877.015,28.74083251
443,2954,8.699425918,333610.6178,3682877.015,28.74086891
444,2955,8.688518967,333625.6178,3682877.015,28.72738277
