"","Temp","long","lat"
"1773",29.6239945699528,333985.6178,3682787.015
"1774",29.6198818596478,334000.6178,3682787.015
"1775",29.6188169679994,334015.6178,3682787.015
"1776",29.6211869052244,334030.6178,3682787.015
"1777",29.6270905157725,334045.6178,3682787.015
"1778",29.6363633735657,334060.6178,3682787.015
"1779",29.6486233146888,334075.6178,3682787.015
"1780",29.6633368121708,334090.6178,3682787.015
"1781",29.679909250263,334105.6178,3682787.015
"1782",29.6978017767602,334120.6178,3682787.015
"1783",29.7166724897402,334135.6178,3682787.015
"1784",29.7365299959245,334150.6178,3682787.015
"1785",29.7578744604053,334165.6178,3682787.015
"1786",29.7817890233094,334180.6178,3682787.015
"1787",29.8099381738285,334195.6178,3682787.015
"1798",30.449465356073,334360.6178,3682787.015
