Longitude,Latitude,Depth
-88.7935863591511,33.2813245529653,1.3
-88.7935904470824,33.281314767327,1
-88.7935943134289,33.2813049469442,0.9
-88.7935983642441,33.2812965895356,0.9
-88.7936026246341,33.2812874120538,0.8
-88.7936067804359,33.2812798598247,0.8
-88.7936114227324,33.2812720528856,1
-88.7936157088126,33.2812655130149,1.3
-88.793619252296,33.2812576350144,1.3
-88.7936227957794,33.2812521301878,1.3
-88.7936258149832,33.281246628259,1.3
-88.7936287063217,33.281241448367,1.2
-88.7936316060816,33.2812372216712,1.1
-88.7936345021115,33.2812331068728,1.2
-88.7936373824352,33.2812291353917,1.2
-88.7936402683626,33.2812246972972,1.2
-88.7936422389432,33.2812199098104,1.2
-88.7936435207724,33.2812155947525,1.2
-88.7936448188431,33.281211228188,1.2
-88.7936461106671,33.2812068915705,1.3
-88.7936474099872,33.2812029403473,1.2
-88.7936486468399,33.281199532686,0.9
-88.7936499349159,33.2811954770996,1.1
-88.793651374115,33.2811905253644,1.2
-88.7936529199294,33.2811861176899,1.2
-88.7936544927057,33.2811816847015,1.2
-88.7936560235412,33.2811769100655,1.2
-88.7936575618662,33.2811717589015,1.2
-88.7936591301488,33.2811660334749,1.1
-88.7936605813119,33.2811595494498,1.2
-88.7936619692414,33.2811530540923,1.3
-88.7936633068737,33.281146686506,1.2
-88.7936646662562,33.281140956104,1.3
-88.7936660691389,33.2811349302887,1.2
-88.7936674896936,33.2811276203173,1.3
-88.7936698902107,33.2811212533427,1.2
-88.7936744983868,33.2811157278447,1.2
-88.7936789995948,33.2811094714622,1.7
-88.7936832556914,33.2811034275914,1.2
-88.7936875126583,33.2810971984996,1.2
-88.7936917019276,33.2810895408964,1.2
-88.7936959500683,33.2810821160666,1.3
-88.7937011186635,33.2810755385708,1.2
-88.7937065166583,33.28106900883,1.3
-88.7937124499885,33.2810624651629,1.2
-88.7937176240714,33.2810568584872,1.3
-88.79372264421,33.2810520022479,1.3
-88.7937285411401,33.2810477110226,1.2
-88.7937347706846,33.2810436537513,1.2
-88.7937413840567,33.2810396507216,1.2
-88.7937478945259,33.2810367879727,1.3
-88.7937547261311,33.2810341574932,1.3
-88.7937636248111,33.2810315621537,1.3
-88.793773398585,33.2810296410697,1.3
-88.793782705187,33.2810278170872,1.3
-88.7937935458921,33.2810259788688,1.4
-88.7938031859694,33.2810241281939,1
-88.7938147369892,33.2810221986375,1.4
-88.7938265258923,33.2810202438503,1.3
-88.7938379349285,33.2810182738359,1.2
-88.7938497304571,33.2810162943046,1.3
-88.7938635742411,33.2810120409121,1.3
-88.7938750483636,33.281007459869,1.2
-88.7938840311629,33.2810019583739,1.3
-88.7938960485431,33.2809974276115,1.3
-88.7939064698662,33.2809931448639,1.3
-88.793917012127,33.2809892680574,1.3
-88.7939269479685,33.2809862212822,1.2
-88.7939379279587,33.280987558349,1.3
-88.7939469107579,33.2809888928145,1.2
-88.7939578539427,33.280990223378,1.2
-88.7939678045729,33.2809915617454,1.2
-88.7939783186369,33.2809929131193,1.3
-88.7939887677228,33.2809952486129,1.3
-88.793998811376,33.2809985535269,1.3
-88.7940079089997,33.2810018384974,1.1
-88.7940187731522,33.2810053213546,1.1
-88.794030203306,33.2810088318832,1.3
-88.7940403296742,33.2810124330135,1.3
-88.7940517063818,33.2810159995176,1.1
-88.7940636871487,33.281015480916,1
-88.7940733968004,33.2810147517532,0.9
-88.7940865032379,33.2810139979713,0.9
-88.7940965788488,33.2810132514303,0.9
-88.7941073893566,33.2810125019929,1
-88.7941188417736,33.2810117525555,0.9
-88.7941306050881,33.2810110197722,0.7
-88.7941421134734,33.2810102674385,0.9
-88.7941539879204,33.2810095071397,0.9
-88.7941630909373,33.2810087642191,1
-88.7941746963725,33.2810078366704,0.9
-88.7941854519752,33.2810068709395,0.8
-88.7941960207063,33.2810059042862,1.7
-88.7942058935896,33.2810049422448,1.8
-88.7942153884414,33.2810039912719,1.8
-88.7942244458561,33.2810030458333,1.9
-88.7942334217028,33.2810021022394,1.9
-88.7942450987654,33.2810011531113,1.7
-88.7942558022492,33.2809994765475,1.8
-88.7942660636866,33.2809977923966,1.8
-88.7942774976354,33.280996090207,1.8
-88.7942891760214,33.2809943912972,1.8
-88.7942984420891,33.2809915187281,1.7
-88.7943100725005,33.2809876478159,1.4
-88.7943217703028,33.2809834911518,1.3
-88.7943302318474,33.2809791742828,1.5
-88.7943380626766,33.2809729614104,1.5
-88.7943458169631,33.2809664594167,1.3
-88.7943536173315,33.2809594084363,1.4
-88.7943611323848,33.2809518676859,1.5
-88.7943676273475,33.280944145317,1.4
-88.7943752163504,33.2809361310597,1.1
-88.7943829231625,33.2809291340303,1.9
-88.7943913989155,33.2809210401977,1.9
-88.7944005606432,33.2809136430483,1.8
-88.7944098015177,33.280906557656,1.6
-88.7944186961402,33.2808996202571,0.9
-88.7944293804074,33.2808925246062,1.5
-88.7944409647187,33.2808852115818,1.6
-88.794449947518,33.280879256261,1.6
-88.7944613182913,33.2808739631349,1.6
-88.7944727155852,33.2808683112258,1.6
-88.7944845886952,33.2808622083399,1.3
-88.7944960355918,33.2808559786382,1.5
-88.7945073907407,33.2808504913113,1.5
-88.7945186879105,33.2808443532826,1.5
