"","X","Z2","k","POINT_Z","Z","Z3","N","DawnDO_Mod","DawnDO_Mod2","combo","POINT_X","POINT_Y","optional"
"1165709",1165709,2,0.06,66.32,2.01,1,3111,4.682917,5.317083,"333199.6_3684873",-88.7913362805294,33.29003976053,TRUE
"1165710",1165710,2,0.06,66.28,2.05,1,3111,4.682917,5.317083,"333201.6_3684873",-88.7913148108583,33.2900400700522,TRUE
"1165711",1165711,2,0.06,66.33,2,1,3111,4.682917,5.317083,"333207.6_3684873",-88.791250401843,33.2900409985965,TRUE
"1165712",1165712,2,0.06,66.32,2.01,1,3111,4.682917,5.317083,"333213.6_3684873",-88.7911859928248,33.2900419271074,TRUE
"1165713",1165713,2,0.06,66.37,1.96,1,3111,4.682917,5.317083,"333235.6_3684873",-88.7909498263993,33.2900453313622,TRUE
"1165714",1165714,2,0.06,66.37,1.96,1,3111,4.682917,5.317083,"333193.6_3684871",-88.7914003209761,33.2900208008716,TRUE
"1165715",1165715,2,0.06,66.35,1.98,1,3111,4.682917,5.317083,"333195.6_3684871",-88.7913788513104,33.2900211104047,TRUE
"1165716",1165716,2,0.06,66.33,2,1,3111,4.682917,5.317083,"333197.6_3684871",-88.7913573816444,33.2900214199341,TRUE
"1165717",1165717,2,0.06,66.31,2.02,1,3111,4.682917,5.317083,"333199.6_3684871",-88.791335911978,33.2900217294598,TRUE
"1165718",1165718,2,0.06,66.29,2.04,1,3111,4.682917,5.317083,"333201.6_3684871",-88.7913144423113,33.2900220389817,TRUE
"1165719",1165719,2,0.06,66.28,2.05,1,3111,4.682917,5.317083,"333203.6_3684871",-88.7912929726443,33.2900223485,TRUE
"1165720",1165720,2,0.06,66.3,2.03,1,3111,4.682917,5.317083,"333205.6_3684871",-88.791271502977,33.2900226580145,TRUE
"1165721",1165721,2,0.06,66.33,2,1,3111,4.682917,5.317083,"333207.6_3684871",-88.7912500333093,33.2900229675254,TRUE
"1165722",1165722,2,0.06,66.35,1.98,1,3111,4.682917,5.317083,"333209.6_3684871",-88.7912285636413,33.2900232770325,TRUE
"1165723",1165723,2,0.06,66.3,2.03,1,3111,4.682917,5.317083,"333211.6_3684871",-88.7912070939729,33.290023586536,TRUE
"1165724",1165724,2,0.06,66.37,1.96,1,3111,4.682917,5.317083,"333193.6_3684869",-88.7913999524118,33.290002769802,TRUE
"1165725",1165725,2,0.06,66.36,1.97,1,3111,4.682917,5.317083,"333195.6_3684869",-88.7913784827505,33.2900030793349,TRUE
"1165726",1165726,2,0.06,66.34,1.99,1,3111,4.682917,5.317083,"333197.6_3684869",-88.7913570130889,33.290003388864,TRUE
"1165727",1165727,2,0.06,66.32,2.01,1,3111,4.682917,5.317083,"333199.6_3684869",-88.7913355434269,33.2900036983895,TRUE
"1165728",1165728,2,0.06,66.31,2.02,1,3111,4.682917,5.317083,"333201.6_3684869",-88.7913140737647,33.2900040079112,TRUE
"1165729",1165729,2,0.06,66.31,2.02,1,3111,4.682917,5.317083,"333203.6_3684869",-88.7912926041021,33.2900043174293,TRUE
"1165730",1165730,2,0.06,66.32,2.01,1,3111,4.682917,5.317083,"333205.6_3684869",-88.7912711344391,33.2900046269436,TRUE
"1165731",1165731,2,0.06,66.33,2,1,3111,4.682917,5.317083,"333207.6_3684869",-88.7912496647758,33.2900049364543,TRUE
