OBJECTID,Join_Count,TARGET_FID,DO,POINT_X,POINT_Y,Temp,Elevation
494,1,494,8.780770219,334375.6178,3682877.015,28.75510847,67.0974121
496,1,496,8.79877388,334405.6178,3682877.015,28.68099622,67.0588608
498,1,498,8.827229898,334435.6178,3682877.015,28.62287978,66.6562119
500,1,500,8.83604859,334465.6178,3682877.015,28.60196188,66.4022903
570,1,570,8.393034877,333475.6178,3682907.015,28.46311411,67.5744171
572,1,572,8.494015268,333505.6178,3682907.015,28.5553548,67.3587418
574,1,574,8.602002736,333535.6178,3682907.015,28.65456904,67.098053
576,1,576,8.69723526,333565.6178,3682907.015,28.74383737,67.1576233
578,1,578,8.74783927,333595.6178,3682907.015,28.79279957,67.04422
580,1,580,8.732092742,333625.6178,3682907.015,28.77582917,67.1422348
582,1,582,8.668644581,333655.6178,3682907.015,28.70243518,67.1581192
584,1,584,8.606124811,333685.6178,3682907.015,28.61419548,67.1567078
586,1,586,8.58340693,333715.6178,3682907.015,28.54963999,67.1199875
588,1,588,8.614841925,333745.6178,3682907.015,28.52704787,67.1554184
590,1,590,8.698909804,333775.6178,3682907.015,28.55000745,66.8539963
592,1,592,8.824396578,333805.6178,3682907.015,28.61336821,67.0835037
594,1,594,8.965537346,333835.6178,3682907.015,28.70012502,67.0757294
596,1,596,9.074711842,333865.6178,3682907.015,28.77444783,67.1465912
598,1,598,9.099973112,333895.6178,3682907.015,28.79244707,67.1242218
600,1,600,9.03491244,333925.6178,3682907.015,28.74140345,67.2695084
602,1,602,8.931010761,333955.6178,3682907.015,28.65546104,67.073616
604,1,604,8.846212653,333985.6178,3682907.015,28.57884847,67.064209
606,1,606,8.810339015,334015.6178,3682907.015,28.53615917,66.8657913
608,1,608,8.830926864,334045.6178,3682907.015,28.53399225,66.807373
610,1,610,8.905314699,334075.6178,3682907.015,28.56977533,66.9008331
612,1,612,9.021564288,334105.6178,3682907.015,28.63367152,67.0548706
614,1,614,9.147733251,334135.6178,3682907.015,28.70364159,67.142395
616,1,616,9.223616645,334165.6178,3682907.015,28.74425363,67.1725235
618,1,618,9.193348347,334195.6178,3682907.015,28.73066427,67.1711121
620,1,620,9.071927085,334225.6178,3682907.015,28.683477,66.9943848
622,1,622,8.934761488,334255.6178,3682907.015,28.64893677,66.6783524
624,1,624,8.83738768,334285.6178,3682907.015,28.64757029,66.6140976
626,1,626,8.788305923,334315.6178,3682907.015,28.66477251,66.6233749
628,1,628,8.773556215,334345.6178,3682907.015,28.67233458,66.7727432
630,1,630,8.78304699,334375.6178,3682907.015,28.65253581,67.0188751
632,1,632,8.816946686,334405.6178,3682907.015,28.61765789,67.0512466
634,1,634,8.859284323,334435.6178,3682907.015,28.60019847,66.7990952
636,1,636,8.870180754,334465.6178,3682907.015,28.59888651,66.3996735
638,1,638,8.839353796,334495.6178,3682907.015,28.58534498,66.447876
711,1,711,8.284171436,333445.6178,3682937.015,28.37359422,67.5838928
713,1,713,8.368339374,333475.6178,3682937.015,28.45076997,67.3769913
715,1,715,8.469037641,333505.6178,3682937.015,28.54097151,67.0540009
717,1,717,8.580231289,333535.6178,3682937.015,28.64005973,67.0113297
719,1,719,8.681389826,333565.6178,3682937.015,28.7312975,67.131958
721,1,721,8.736493231,333595.6178,3682937.015,28.78217345,66.9560776
723,1,723,8.719645304,333625.6178,3682937.015,28.76431557,67.0681381
725,1,725,8.651595891,333655.6178,3682937.015,28.68839826,67.0880051
727,1,727,8.585835072,333685.6178,3682937.015,28.59887307,67.0944824
729,1,729,8.562279504,333715.6178,3682937.015,28.53433466,67.1265945
731,1,731,8.593821797,333745.6178,3682937.015,28.51172384,67.0414658
733,1,733,8.67795719,333775.6178,3682937.015,28.53418212,66.9327698
735,1,735,8.803824461,333805.6178,3682937.015,28.59735506,67.1019516
737,1,737,8.946763669,333835.6178,3682937.015,28.68547216,67.1007919
739,1,739,9.058857888,333865.6178,3682937.015,28.76234725,67.1062317
741,1,741,9.085408548,333895.6178,3682937.015,28.78114015,66.9818802
743,1,743,9.019365832,333925.6178,3682937.015,28.72794626,67.2243958
745,1,745,8.914972437,333955.6178,3682937.015,28.639592,67.0431595
747,1,747,8.830917778,333985.6178,3682937.015,28.56193883,67.0739975
749,1,749,8.79558064,334015.6178,3682937.015,28.51897267,66.9158096
751,1,751,8.815618613,334045.6178,3682937.015,28.51665315,67.1793976
753,1,753,8.88879622,334075.6178,3682937.015,28.55270448,67.1347961
755,1,755,9.004361728,334105.6178,3682937.015,28.61822218,67.1367111
757,1,757,9.130916536,334135.6178,3682937.015,28.69142615,67.1710968
759,1,759,9.206984206,334165.6178,3682937.015,28.73474826,67.1591949
761,1,761,9.177007347,334195.6178,3682937.015,28.72007789,67.1577911
763,1,763,9.059329911,334225.6178,3682937.015,28.66611607,67.1199112
765,1,765,8.927197245,334255.6178,3682937.015,28.61733212,66.8077774
767,1,767,8.830715076,334285.6178,3682937.015,28.59531829,66.7774124
769,1,769,8.778686033,334315.6178,3682937.015,28.59300071,66.9595642
771,1,771,8.762346586,334345.6178,3682937.015,28.59397823,66.7607727
773,1,773,8.774660443,334375.6178,3682937.015,28.58965352,66.9540024
775,1,775,8.811506811,334405.6178,3682937.015,28.58640041,67.0533447
777,1,777,8.853174697,334435.6178,3682937.015,28.59236113,66.9079971
779,1,779,8.863738489,334465.6178,3682937.015,28.59462401,66.7742538
781,1,781,8.832696506,334495.6178,3682937.015,28.57542607,66.0667267
861,1,861,8.103251222,333355.6178,3682967.015,28.20018564,67.3827744
863,1,863,8.141562795,333385.6178,3682967.015,28.24487778,67.4607849
865,1,865,8.188475143,333415.6178,3682967.015,28.29528624,67.3615341
867,1,867,8.247032043,333445.6178,3682967.015,28.35328753,67.3926239
869,1,869,8.320027558,333475.6178,3682967.015,28.42079918,67.1587982
871,1,871,8.408319931,333505.6178,3682967.015,28.49857876,67.149147
873,1,873,8.506543289,333535.6178,3682967.015,28.58281569,67.1681519
875,1,875,8.596388117,333565.6178,3682967.015,28.65915677,67.2387238
877,1,877,8.646443786,333595.6178,3682967.015,28.70080177,67.0222397
879,1,879,8.635518772,333625.6178,3682967.015,28.68582367,67.1539993
881,1,881,8.582677344,333655.6178,3682967.015,28.6242684,67.0146713
883,1,883,8.533133738,333685.6178,3682967.015,28.55186867,67.0316315
885,1,885,8.519879495,333715.6178,3682967.015,28.49928913,66.992485
887,1,887,8.553183878,333745.6178,3682967.015,28.48054541,66.9692688
889,1,889,8.629872048,333775.6178,3682967.015,28.49862511,66.9652939
891,1,891,8.739190279,333805.6178,3682967.015,28.54980154,66.8356934
893,1,893,8.859484636,333835.6178,3682967.015,28.62056274,67.1233368
895,1,895,8.952619865,333865.6178,3682967.015,28.6815189,67.0736618
897,1,897,8.977781379,333895.6178,3682967.015,28.69623172,66.9982147
899,1,899,8.930740355,333925.6178,3682967.015,28.65423645,67.0156479
901,1,901,8.852478496,333955.6178,3682967.015,28.58377708,66.9692535
903,1,903,8.788298001,333985.6178,3682967.015,28.52091578,67.0302048
905,1,905,8.76180704,334015.6178,3682967.015,28.48574435,67.0948944
907,1,907,8.779652359,334045.6178,3682967.015,28.48409755,67.1597366
909,1,909,8.840132689,334075.6178,3682967.015,28.51443211,67.1531525
911,1,911,8.933144983,334105.6178,3682967.015,28.56892122,67.1474609
913,1,913,9.031783916,334135.6178,3682967.015,28.62899352,67.0780258
915,1,915,9.088807974,334165.6178,3682967.015,28.66464888,67.0265579
917,1,917,9.066156659,334195.6178,3682967.015,28.65456631,66.8446198
919,1,919,8.978788491,334225.6178,3682967.015,28.61158139,66.7494659
921,1,921,8.877741718,334255.6178,3682967.015,28.56750624,66.7571106
923,1,923,8.799676356,334285.6178,3682967.015,28.54065341,66.7107925
925,1,925,8.754548418,334315.6178,3682967.015,28.53069072,66.748085
